,median,p2.5,p97.5,epicurve,loglk,AIC
delaymean,12.115150235422217,11.609546678988522,12.607083643838077,2019-01-19,-2695.5786465413726,5395.157293082745
delaysd,8.168953755668337,7.705162877826081,8.654918224849775,2019-01-19,-2695.5786465413726,5395.157293082745
delayCV,0.6745965473495931,0.648805938260739,0.7026791630207838,2019-01-19,-2695.5786465413726,5395.157293082745
delaymean,12.0720689206352,11.57180685864625,12.553021862786036,2019-01-21,-2768.289008769921,5540.578017539842
delaysd,8.102710173463311,7.64797780462628,8.583982811426827,2019-01-21,-2768.289008769921,5540.578017539842
delayCV,0.6711482612815329,0.6451167259105254,0.6996876718583356,2019-01-21,-2768.289008769921,5540.578017539842
delaymean,12.086281083451802,11.592753476233556,12.579664160669912,2019-01-22,-2848.724096399171,5701.448192798342
delaysd,8.085620455582205,7.643642155412611,8.551899929313826,2019-01-22,-2848.724096399171,5701.448192798342
delayCV,0.6685861520325304,0.6428126563045288,0.6962838703844801,2019-01-22,-2848.724096399171,5701.448192798342
delaymean,12.102931997104386,11.624404001448404,12.580076738850188,2019-01-26,-2919.85915343688,5843.71830687376
delaysd,8.054158969788201,7.618373581763573,8.515833394695,2019-01-26,-2919.85915343688,5843.71830687376
delayCV,0.6654854561378021,0.6406152096533755,0.691824944610991,2019-01-26,-2919.85915343688,5843.71830687376
delaymean,12.063515439623078,11.609125690261886,12.52395042384575,2019-01-28,-2993.3197634414732,5990.6395268829465
delaysd,7.969278628989128,7.550261985687397,8.413071614516225,2019-01-28,-2993.3197634414732,5990.6395268829465
delayCV,0.6605593133479486,0.6367369048966435,0.6870093132985631,2019-01-28,-2993.3197634414732,5990.6395268829465
delaymean,12.034542958371036,11.584136274323647,12.491376424109186,2019-01-29,-3066.136706201206,6136.273412402412
delaysd,7.919882335633437,7.503154570866615,8.358243451086418,2019-01-29,-3066.136706201206,6136.273412402412
delayCV,0.6581952356171155,0.6340363240227169,0.6850147093236001,2019-01-29,-3066.136706201206,6136.273412402412
delaymean,11.698090922691772,11.276669082292411,12.116835252739408,2019-02-03,-3212.053731980354,6428.107463960708
delaysd,7.415825249990406,7.0479364914106855,7.802955085263883,2019-02-03,-3212.053731980354,6428.107463960708
delayCV,0.6339666617687207,0.6117025716263816,0.6576606057586232,2019-02-03,-3212.053731980354,6428.107463960708
delaymean,11.852619725778244,11.419078673000604,12.28166032496345,2019-02-05,-3277.7679941568945,6559.535988313789
delaysd,7.552044891357437,7.1797400604874255,7.940101311671234,2019-02-05,-3277.7679941568945,6559.535988313789
delayCV,0.6370950287527396,0.6157168306359154,0.6608693697196317,2019-02-05,-3277.7679941568945,6559.535988313789
delaymean,11.861218263127856,11.443802447413862,12.275660168306924,2019-02-10,-3346.8148280639343,6697.629656127869
delaysd,7.551127574343722,7.195302828942021,7.927405166086353,2019-02-10,-3346.8148280639343,6697.629656127869
delayCV,0.6363890164315155,0.6155052863159647,0.6587164080677075,2019-02-10,-3346.8148280639343,6697.629656127869
delaymean,11.880871440327116,11.47366517094043,12.29254672926349,2019-02-12,-3399.2270522967665,6802.454104593533
delaysd,7.573103620106423,7.221411161162049,7.940684338301711,2019-02-12,-3399.2270522967665,6802.454104593533
delayCV,0.6375911237376064,0.6165554728923528,0.6598059276487503,2019-02-12,-3399.2270522967665,6802.454104593533
delaymean,11.894074451573132,11.497958847009585,12.296759646988411,2019-02-17,-3474.5467650600726,6953.093530120145
delaysd,7.580123155549197,7.237056681517859,7.939315884152165,2019-02-17,-3474.5467650600726,6953.093530120145
delayCV,0.6372249013885574,0.6168337362998955,0.659484615241264,2019-02-17,-3474.5467650600726,6953.093530120145
delaymean,11.918688995536208,11.514232634842715,12.320673014098535,2019-02-19,-3558.029986977344,7120.059973954688
delaysd,7.614320289979562,7.2597590637091765,7.989112918029613,2019-02-19,-3558.029986977344,7120.059973954688
delayCV,0.638808605678171,0.618001939689226,0.6614196905321766,2019-02-19,-3558.029986977344,7120.059973954688
delaymean,11.873005622074935,11.465405143564992,12.2752033443464,2019-02-24,-3649.673524166938,7303.347048333876
delaysd,7.574059502187909,7.220910236618646,7.94720477168671,2019-02-24,-3649.673524166938,7303.347048333876
delayCV,0.6379938705053906,0.6173278235803241,0.6601167707545573,2019-02-24,-3649.673524166938,7303.347048333876
delaymean,11.884369140595233,11.474286842670212,12.285943091581386,2019-02-26,-3734.927517004416,7473.855034008832
delaysd,7.588595973805377,7.238389362399709,7.9608182578355144,2019-02-26,-3734.927517004416,7473.855034008832
delayCV,0.6385635470176134,0.6178999204094007,0.6609040657413598,2019-02-26,-3734.927517004416,7473.855034008832
delaymean,11.893952110856043,11.493329738103753,12.279944775615817,2019-03-03,-3815.897137031443,7635.794274062886
