,median,p2.5,p97.5,epicurve,loglk,AIC,switch_t,switch
delayCV__0,0.7391115188640247,0.7032159342928431,0.7793157233533636,2019-03-17,-4105.5905787392685,8219.181157478537,210,2018-11-26
delayCV__1,0.5411881850479002,0.5220393427507032,0.5610658608955675,2019-03-17,-4105.5905787392685,8219.181157478537,210,2018-11-26
delaymean,11.598866263917872,11.240033431324596,11.948093886538203,2019-03-24,-4290.145975022819,8588.291950045637,210,2018-11-26
k__0,1.3701411168210806,1.2939822423103706,1.4465545337571943,2019-03-24,-4290.145975022819,8588.291950045637,210,2018-11-26
k__1,1.9404815111231977,1.8670162917430648,2.013719846663148,2019-03-24,-4290.145975022819,8588.291950045637,210,2018-11-26
delaysd__0,8.563648094053473,8.075689241006886,9.096439474858649,2019-03-24,-4290.145975022819,8588.291950045637,210,2018-11-26
delaysd__1,6.229375002519006,5.953331463858826,6.520226714851343,2019-03-24,-4290.145975022819,8588.291950045637,210,2018-11-26
delayCV__0,0.7384376479482108,0.70210935681716,0.779116308844765,2019-03-24,-4290.145975022819,8588.291950045637,210,2018-11-26
delayCV__1,0.5371420223515037,0.5195172408635061,0.5561775972051787,2019-03-24,-4290.145975022819,8588.291950045637,210,2018-11-26
delaymean,11.496908406764511,11.172261635941707,11.821892990209184,2019-03-31,-4500.533922510103,9009.067845020207,210,2018-11-26
k__0,1.377598204593169,1.3007380816610914,1.4526722419454994,2019-03-31,-4500.533922510103,9009.067845020207,210,2018-11-26
k__1,2.012149048105666,1.9463271552833092,2.078742273899953,2019-03-31,-4500.533922510103,9009.067845020207,210,2018-11-26
delaysd__0,8.449525887555414,7.974600762837203,8.970612308175733,2019-03-31,-4500.533922510103,9009.067845020207,210,2018-11-26
delaysd__1,5.976468869073576,5.740530662723355,6.220618248302625,2019-03-31,-4500.533922510103,9009.067845020207,210,2018-11-26
delayCV__0,0.7347078723159256,0.6993717966302497,0.7753047496047757,2019-03-31,-4500.533922510103,9009.067845020207,210,2018-11-26
delayCV__1,0.5198821392572621,0.5048824699569724,0.5356877816299762,2019-03-31,-4500.533922510103,9009.067845020207,210,2018-11-26
delaymean,11.569029345855409,11.250665621164536,11.880109030052557,2019-04-07,-4707.839099283562,9423.678198567124,210,2018-11-26
k__0,1.3731777945017072,1.2992828994537298,1.447111813121193,2019-04-07,-4707.839099283562,9423.678198567124,210,2018-11-26
k__1,2.0169232810054316,1.9520509959870653,2.081339004989505,2019-04-07,-4707.839099283562,9423.678198567124,210,2018-11-26
delaysd__0,8.52531050027805,8.059288481442051,9.034898030631403,2019-04-07,-4707.839099283562,9423.678198567124,210,2018-11-26
delaysd__1,6.001320420414324,5.76875249699938,6.240403311241511,2019-04-07,-4707.839099283562,9423.678198567124,210,2018-11-26
delayCV__0,0.7369137048078638,0.7018589970140294,0.7761221996097306,2019-04-07,-4707.839099283562,9423.678198567124,210,2018-11-26
delayCV__1,0.518774791440703,0.5043164287471493,0.534272084769718,2019-04-07,-4707.839099283562,9423.678198567124,210,2018-11-26
